city,cloudiness,humidity,latitude,longitude,temp,wind speeds
arica,75,72,-18.48,-70.32,60.67,4.7
leningradskiy,36,99,69.38,178.42,32.23,10.2
rikitea,100,100,-23.12,-134.97,69.76,17.69
vaini,92,100,15.34,74.49,69.04,3.04
namibe,8,100,-15.19,12.15,67.6,3.94
galle,90,78,29.74,-97.91,77.29,10.29
mehamn,56,88,71.03,27.85,48.79,3.49
chuy,0,90,-33.69,-53.46,51.31,10.09
rodrigues alves,20,78,-7.74,-72.65,75.2,1.12
carnarvon,0,70,-30.97,22.13,24.13,3.15
albany,40,39,42.65,-73.75,78.35,8.05
hermanus,36,100,-34.42,19.24,45.28,4.38
chokurdakh,0,82,70.62,147.9,50.59,12.66
faanui,92,100,-16.48,-151.75,80.56,19.26
punta arenas,40,80,-53.16,-70.91,39.2,26.4
hamilton,20,65,32.3,-64.78,77.0,10.29
rio gallegos,0,51,-51.62,-69.22,39.2,21.92
tasiilaq,0,52,65.61,-37.64,41.0,8.05
qaanaaq,88,99,77.48,-69.36,32.23,1.14
tuktoyaktuk,90,93,69.44,-133.03,35.6,10.29
kapaa,40,65,22.08,-159.32,80.47,6.93
tsovagyugh,68,100,40.63,44.96,53.11,2.15
linxia,56,78,35.6,103.21,53.02,4.61
manali,44,87,32.25,77.19,23.95,0.69
atuona,0,100,-9.8,-139.03,80.74,12.77
kaitangata,32,100,-46.28,169.85,45.28,4.38
ushuaia,40,51,-54.81,-68.31,39.2,14.99
pochutla,75,70,15.74,-96.47,86.0,5.82
hofn,92,100,64.25,-15.21,46.45,5.61
el alto,20,39,-16.5,-68.19,46.4,5.82
mar del plata,32,64,-46.43,-67.52,43.12,19.26
fortuna,0,73,38.18,-1.13,69.8,2.24
bluff,8,53,-23.58,149.07,56.26,4.72
barrow,12,69,-38.31,-60.23,53.29,12.77
faya,0,18,18.39,42.45,73.4,4.7
khatanga,20,66,71.98,102.47,53.02,11.99
georgetown,40,88,6.8,-58.16,78.8,4.7
anadyr,0,37,64.73,177.51,55.4,2.24
dali,80,96,25.6,100.24,65.26,2.04
castro,68,83,-42.48,-73.76,43.93,4.5
fort nelson,40,14,58.81,-122.69,93.2,10.29
lac du bonnet,44,32,50.25,-96.06,81.1,7.07
saint anthony,90,72,43.97,-111.68,61.45,4.05
xianshuigu,0,88,38.98,117.38,71.6,2.24
constitucion,90,46,23.99,-104.67,73.4,5.82
young,0,79,-32.7,-57.63,49.51,5.06
bonavista,80,79,48.65,-53.11,50.23,14.45
cangucu,0,84,-31.39,-52.68,47.71,6.51
saskylakh,0,86,71.97,114.09,53.83,9.42
cherskiy,0,55,68.75,161.3,52.39,2.15
coquimbo,90,87,-29.95,-71.34,51.8,2.37
alta floresta,0,65,-9.87,-56.08,78.8,3.36
mahebourg,20,88,-20.41,57.7,66.2,1.12
ilulissat,75,52,69.22,-51.1,44.6,3.36
floresta,20,74,-8.6,-38.57,70.48,11.77
ahipara,64,100,-35.17,173.16,57.79,4.16
mataura,64,100,-46.19,168.86,41.95,4.38
hobart,75,86,-42.88,147.33,39.2,4.7
guerrero negro,0,65,27.97,-114.04,68.95,12.21
new norfolk,75,86,-42.78,147.06,39.2,4.7
caravelas,12,100,-17.73,-39.27,76.06,19.71
talnakh,32,62,69.49,88.39,61.03,4.16
hilo,1,54,19.71,-155.08,77.29,10.29
iberia,0,87,-11.41,-69.49,70.12,2.37
sur,0,84,22.57,59.53,87.85,11.43
the valley,20,74,18.22,-63.06,81.77,12.75
vardo,40,58,39.62,-77.74,80.06,9.17
batagay,0,65,67.65,134.64,71.92,4.38
avarua,40,61,-21.21,-159.78,78.8,12.75
victoria,75,94,5.28,115.24,78.8,2.24
busselton,80,100,-33.64,115.35,61.57,11.77
camacha,75,82,33.08,-16.33,67.21,11.41
lebu,75,93,8.96,38.73,57.2,2.15
hithadhoo,100,100,-0.6,73.08,84.25,14.45
leh,92,99,34.16,77.58,30.16,1.7
kavieng,0,100,-2.57,150.8,84.7,3.15
maragogi,100,80,-9.01,-35.22,75.7,10.42
camopi,92,78,3.17,-52.33,78.04,3.38
manzhouli,0,52,49.6,117.43,65.08,8.41
upernavik,92,93,72.79,-56.15,33.22,12.1
zhigansk,48,50,66.77,123.37,62.11,8.08
dejen,24,69,10.16,38.15,53.74,1.48
samarai,92,100,-10.62,150.67,78.13,21.05
nome,75,88,30.04,-94.42,77.0,5.82
port elizabeth,1,40,39.31,-74.98,83.89,6.93
ipixuna,75,78,-1.76,-48.8,78.8,8.05
puerto ayora,75,69,-0.74,-90.35,77.0,12.75
hay river,40,54,60.82,-115.79,78.8,5.82
raikot,0,89,30.65,75.6,75.34,2.71
rio grande,0,85,-32.03,-52.1,53.83,8.97
butaritari,32,100,3.07,172.79,82.18,12.66
east london,0,100,-33.02,27.91,64.45,18.03
tiksi,12,74,71.64,128.87,62.56,4.05
bredasdorp,48,81,-34.53,20.04,50.0,8.05
tubuala,75,94,9.52,-79.03,73.4,6.93
nemuro,68,96,43.32,145.57,54.01,13.44
lima,12,77,-12.06,-77.04,59.14,2.48
bethel,75,71,60.79,-161.76,53.6,16.11
ugoofaaru,88,99,5.67,73.0,83.08,14.45
esperance,40,94,10.24,-61.45,77.0,5.06
jamestown,80,61,-33.21,138.6,46.36,6.73
krasnogorsk,0,82,55.82,37.34,64.4,8.95
gizo,0,73,31.8,34.94,75.2,3.36
kristiansund,92,76,63.12,7.73,48.2,24.16
yulara,20,61,-25.24,130.99,50.0,9.17
khvatovka,12,70,52.36,46.55,60.58,2.59
berestechko,0,78,50.36,25.12,63.55,4.38
miri,92,82,10.31,9.75,72.64,9.08
port alfred,0,93,-33.59,26.89,60.49,13.0
vostok,88,93,46.45,135.83,60.76,5.39
trat,92,100,12.25,102.51,74.71,7.18
maraa,56,96,-1.83,-65.37,72.91,3.38
nizwa,0,46,22.93,57.53,70.93,2.04
tambovka,0,59,46.93,35.45,63.46,2.59
narsaq,75,57,60.91,-46.05,48.2,8.05
kautokeino,92,83,69.01,23.04,52.21,3.6
sarkand,32,60,45.41,79.91,61.03,3.71
cape town,20,100,-33.93,18.42,51.8,11.41
beringovskiy,0,99,63.05,179.32,45.73,7.18
vila velha,0,78,-3.71,-38.6,80.6,9.17
yellowknife,20,34,62.45,-114.38,80.6,6.93
geraldton,75,36,49.72,-86.95,77.0,13.87
vidim,0,68,50.47,14.53,67.08,2.24
harlingen,75,94,26.19,-97.7,79.09,12.77
zuwarah,0,99,32.93,12.08,69.4,6.62
haines junction,0,44,60.75,-137.51,64.99,5.61
port lincoln,100,100,-34.72,135.86,52.66,3.94
mamallapuram,40,66,12.63,80.17,86.0,6.93
ughelli,64,97,5.49,6.0,72.91,6.4
san rafael del sur,75,78,11.85,-86.44,82.4,11.41
porosozero,36,91,62.72,32.71,49.06,11.77
datong,8,42,40.09,113.3,68.32,2.59
sao felix do xingu,32,75,-6.64,-51.99,77.14,3.71
rantepao,68,98,-2.97,119.9,69.58,2.59
alice springs,12,42,-23.7,133.88,44.6,4.7
goba,20,93,7.01,39.97,50.32,2.59
lompoc,90,82,34.64,-120.46,66.25,12.75
belaya gora,0,38,68.54,146.19,61.75,10.2
saint-philippe,1,40,45.36,-73.48,74.3,6.93
nanortalik,80,100,60.14,-45.24,36.19,18.48
moses lake,20,30,47.13,-119.28,85.14,8.05
bafq,92,13,31.6,55.4,84.25,11.77
alofi,40,65,-19.06,-169.92,80.6,14.99
shadegan,0,27,30.65,48.67,87.8,11.41
airai,12,89,-8.93,125.41,70.93,2.37
mayo,75,29,63.59,-135.9,77.0,3.36
aviles,75,93,43.55,-5.92,64.4,5.82
severobaykalsk,8,76,55.65,109.32,57.16,1.92
wagar,64,84,31.44,-87.99,82.45,2.37
ocampo,68,100,13.56,123.37,80.02,4.94
khani,40,88,41.96,42.96,66.2,5.82
tuatapere,64,100,-46.13,167.69,44.11,6.51
colwyn bay,0,100,53.29,-3.71,60.82,26.4
rosarito,40,78,4.91,-75.23,74.26,2.24
hambantota,76,98,6.12,81.12,80.92,13.78
turangi,8,98,-39.0,175.93,46.81,14.0
chulman,68,72,56.84,124.9,57.88,3.38
pato branco,0,80,-26.23,-52.67,46.99,4.72
kirakira,68,100,-10.46,161.92,80.11,18.14
havelock,1,59,34.88,-76.9,91.42,8.05
la ronge,75,39,55.1,-105.3,82.4,8.05
sistranda,75,87,63.73,8.83,48.2,29.97
pevek,0,79,69.7,170.27,41.95,2.93
tazovskiy,36,62,67.47,78.7,70.57,18.25
malacampa,90,88,15.64,120.41,77.0,2.24
fallon,90,56,46.84,-105.12,69.8,5.82
pamplona,0,88,42.82,-1.64,63.61,4.7
kavaratti,88,100,10.57,72.64,80.56,21.27
the pas,75,32,53.82,-101.24,84.2,4.7
codrington,80,83,-28.95,153.24,57.7,7.07
broome,0,82,52.47,1.45,64.02,10.29
ichinohe,92,79,40.14,141.28,67.24,2.71
arraial do cabo,75,82,-22.97,-42.02,66.2,3.36
thompson,75,46,55.74,-97.86,69.8,8.05
khvorostyanka,76,67,52.62,48.95,64.18,2.93
souillac,0,78,45.6,-0.6,69.62,10.29
celica,0,24,-4.1,-79.96,76.96,3.94
huadian,64,96,42.97,126.75,61.75,5.61
oskemen,20,93,49.96,82.61,48.2,2.24
dikson,0,97,73.51,80.55,31.24,21.16
moron,88,89,10.49,-68.2,69.76,6.96
coahuayana,56,83,18.62,-100.35,72.64,2.48
mujiayingzi,0,41,42.12,118.78,70.75,8.08
cidreira,0,86,-30.17,-50.22,49.33,3.6
santa helena,92,97,-2.23,-45.3,72.28,5.61
abalak,0,47,15.46,6.28,84.25,17.13
sechura,0,73,-5.56,-80.82,71.6,17.22
sambava,100,100,-14.27,50.17,73.63,20.27
moorhead,1,31,46.87,-96.75,76.91,8.05
cabo san lucas,5,27,22.89,-109.91,87.01,20.8
iracoubo,36,75,5.48,-53.21,79.66,5.73
college,75,48,64.86,-147.8,65.03,10.29
jega,20,73,12.22,4.38,79.93,13.11
ust-nera,64,39,64.57,143.24,61.84,2.37
sao filipe,0,100,14.9,-24.5,72.01,10.54
mana,90,100,43.52,20.24,61.93,6.93
dvinskoy,92,100,62.16,45.12,58.69,3.15
san rafael,0,64,-34.61,-68.33,39.07,2.48
kodinsk,20,66,58.6,99.18,69.76,5.17
severo-kurilsk,64,93,50.68,156.12,44.47,6.96
chilliwack,1,50,49.17,-121.95,80.38,5.82
huarmey,0,85,-10.07,-78.15,59.23,2.93
thinadhoo,20,100,0.53,72.93,81.73,9.19
saint-gaudens,0,93,43.11,0.72,60.8,2.24
lorengau,12,100,-2.02,147.27,83.98,4.72
limon,90,100,39.26,-103.69,51.8,10.76
ereymentau,56,72,51.62,73.1,55.99,7.52
novyy urengoy,44,97,66.08,76.63,62.11,10.76
pasighat,20,89,28.06,95.33,71.65,1.59
cururupu,76,98,-1.82,-44.87,74.89,4.38
san bartolo,75,74,15.08,-91.46,80.6,6.93
nishihara,90,94,35.74,139.53,68.0,9.17
falun,0,54,60.61,15.63,55.4,12.75
vysokogornyy,100,100,50.1,139.13,56.98,2.93
lavrentiya,12,89,65.58,-170.99,40.06,20.6
okhotsk,92,95,59.36,143.24,45.73,8.75
nikolskoye,0,76,59.7,30.79,53.6,11.18
lloydminster,40,28,53.28,-110.01,80.6,9.17
saint-andre-avellin,20,40,45.72,-75.07,74.39,6.93
whitehorse,75,27,60.72,-135.06,78.8,11.41
lillooet,1,14,50.69,-121.94,98.6,6.93
rocha,0,76,-34.48,-54.34,48.25,7.96
saldanha,0,78,41.42,-6.55,62.92,2.48
chapais,1,32,49.78,-74.86,69.8,14.99
southbridge,1,44,42.08,-72.03,78.8,10.29
waddan,20,43,29.16,16.14,74.62,12.21
coihaique,90,74,-45.58,-72.07,35.42,4.7
katsuura,75,94,33.93,134.5,70.88,6.93
cristian,0,93,45.78,24.03,64.4,3.36
richards bay,92,95,-28.77,32.06,60.49,3.38
husavik,64,45,50.56,-96.99,79.66,5.17
petrolina,75,88,-9.38,-40.5,69.8,8.05
kupang,0,85,-10.16,123.6,81.1,15.57
yichang,32,94,30.77,111.32,76.6,3.94
minot,20,30,48.23,-101.3,76.15,3.36
shache,76,84,38.42,77.24,60.4,2.71
galesong,20,94,-5.32,119.37,75.2,3.36
elat,92,94,2.91,11.16,67.69,3.38
sterna,8,50,41.57,26.46,64.0,7.4
walvis bay,0,87,-22.95,14.51,51.8,2.24
iqaluit,75,75,63.75,-68.52,41.0,19.46
sept-iles,75,48,50.2,-66.38,62.6,19.46
mont-joli,20,59,48.58,-68.19,64.15,8.05
kamaishi,75,82,39.28,141.86,66.2,4.7
fairbanks,75,48,64.84,-147.72,65.03,10.29
loandjili,40,78,-4.77,11.87,75.2,8.05
klaksvik,56,81,62.23,-6.59,46.4,19.46
puerto suarez,8,88,-18.96,-57.8,70.72,2.15
sitka,20,40,37.17,-99.65,92.17,15.46
ribeira grande,92,96,38.52,-28.7,72.28,10.2
